Feature	Importances
Joe Pantoliano	1.287039858518174e-20
Joe Prospero	6.5298873828741825e-19
Joe Ranft	4.0837996126940964e-17
Joel Grey	7.474976025095517e-20
Johanne-Marie Tremblay	0.0
John Ashton	5.257344400291149e-22
John Bach	1.2360897698112599e-05
John Bedford Lloyd	9.948506279161701e-06
John Bourgeois	0.0
John C. Reilly	6.8363165461111255e-19
John Carroll Lynch	1.6635712954190614e-07
John Goodman	3.6490062109590723e-07
John Heard	0.0
John Hodgman	0.0
John Hurt	0.0
John Koyama	2.6657566737253e-05
John Lacy	1.2664308376947822e-20
John Leguizamo	1.761913030895859e-20
John Lithgow	1.549793652006396e-17
John Morris	8.81707955803774e-19
John Patrick Amedori	0.0
John Ratzenberger	2.1044538079801171e-07
John Rubinstein	0.0
John Sharian	0.0
John Shrapnel	0.0
John Thomson	6.242832825497473e-18
John Turturro	1.592170080523888e-19
Johnny Depp	2.2959993108276703e-18
Johnny Simmons	2.864204841115054e-21
Jon Chevalier	5.3727134467755646e-21
Jon Seda	8.038077729939571e-18
Jonathan Ahdout	0.0
Jonathan Brewer	7.99713516694413e-19
Jonathan Haagensen	3.4388213655145295e-20
Jonathan Loughran	0.0
Jonathan Pryce	0.0
Jonathan Rhys Meyers	0.0
Jordi Mollà	7.363604023851215e-22
Jorge Salinas	5.21752377170511e-21
Jorja Fox	0.0
Jose Coronado	1.749220380818097e-06
Joseph Fiennes	5.700661307998091e-21
Joseph Mazzello	0.0
Joseph Mussey	0.0
Joseph Rosenberg	0.0
Josh Brolin	3.233312548902039e-18
Josh Hamilton	1.2366763046167426e-18
Josh Hartnett	4.227884191851722e-20
Josh Helman	0.0
Josh Lucas	6.402845577883812e-20
Josh Pais	7.872297866100616e-20
Juan Gabriel Yacuzzi	0.0
Judd Hirsch	0.0
Jude Ciccolella	0.0
Jude Law	4.2669399395180604e-20
Judi Dench	1.5027833635148344e-17
Jukka Hiltunen	0.0
Jules Sitruk	2.218510859623413e-18
Julia Ormond	0.0
Julia Rayner	0.0
Julia Roberts	1.1335246032239316e-17
Julia Stiles	2.165413778906558e-17
Juliane Köhler	4.820231176214345e-19
Julianne Moore	1.3871768507408551e-08
Julie Christie	0.0
Julie Delpy	9.752799085872717e-08
Julie Dreyfus	1.1781468275158892e-07
Julie Walters	1.864391381092188e-18
Julio Oscar Mechoso	4.6701316054611615e-19
Julius Callahan	2.0721650800420442e-07
Jung Jae-jin	4.6183521327707334e-20
Jung Woo-sung	0.0
