category,employee,runtimeMinutes,ProductionCompanies
director,Clint Eastwood,138,"Village Roadshow Pictures, Malpaso Productions, NPV Entertainment, Warner Bros."
producer,Clint Eastwood,110,"Malpaso Productions, Warner Bros."
actor,Clint Eastwood,132,"Lakeshore Entertainment, Malpaso Productions, Epsilon Motion Pictures, Warner Bros., Albert S. Ruddy Productions"
actor,Clint Eastwood,110,"Malpaso Productions, Warner Bros."
composer,Clint Eastwood,135,"DreamWorks SKG, Amblin Entertainment, Malpaso Productions, Warner Bros."
composer,Clint Eastwood,132,"Lakeshore Entertainment, Malpaso Productions, Epsilon Motion Pictures, Warner Bros., Albert S. Ruddy Productions"
actor,Cary Elwes,103,"Lions Gate Films, Twisted Pictures, Evolution Entertainment, Saw Productions Inc."
actor,Ralph Fiennes,105,Red Om Films
actor,Ralph Fiennes,106,"Universal Pictures, Mike Zoss Productions, Working Title Films"
actor,Colin Firth,107,Serendipity Point Films
actor,Harrison Ford,128,Warner Bros.
actor,Harrison Ford,119,"Imagine Entertainment, DreamWorks SKG, Universal Pictures, platinum studios, Reliance Entertainment, Relativity Media, K/O Paper Products, Fairview Entertainment, K/O Camera Toys"
actor,Harrison Ford,122,"Lucasfilm, Paramount Pictures"
actor,Harrison Ford,116,"Columbia Pictures, Revolution Studios"
actress,Jodie Foster,96,Walden Media
actress,Jodie Foster,98,"Imagine Entertainment, Touchstone Pictures"
actress,Jodie Foster,122,"Village Roadshow Pictures, Silver Pictures, Warner Bros."
actress,Jodie Foster,129,"Imagine Entertainment, Universal Pictures, 40 Acres & A Mule Filmworks"
actress,Jodie Foster,112,"Hofflund/Polone, Indelible Productions"
actor,Michael J. Fox,77,"Columbia Pictures, Sony Pictures Entertainment"
actor,Michael J. Fox,95,"Walt Disney Pictures, Walt Disney Feature Animation"
actor,Morgan Freeman,96,"Columbia Pictures, Universal Pictures, Spyglass Entertainment, Shady Acres Entertainment, Original Film, Playtone, Relativity Media"
actor,Morgan Freeman,88,"Shangri-La Entertainment, Material, Taormina Productions"
actor,Morgan Freeman,134,"Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Kasdan Pictures, WV Films II"
actor,Morgan Freeman,114,"Miramax Films, The Ladd Company"
actor,Morgan Freeman,115,"Twentieth Century Fox Film Corporation, Regency Enterprises, Monarch Pictures, Epsilon Motion Pictures, New Regency Pictures, Manifest Film Company"
actor,Morgan Freeman,132,"Lakeshore Entertainment, Malpaso Productions, Epsilon Motion Pictures, Warner Bros., Albert S. Ruddy Productions"
actor,Morgan Freeman,101,"Universal Pictures, Spyglass Entertainment, Shady Acres Entertainment, Pit Bull Productions"
actor,Morgan Freeman,124,"Paramount Pictures, Mace Neufeld Productions, MFP Munich Film Partners GmbH & Company I. Produktions KG, S.O.A.F. Productions, Mel's Cite du Cinema"
actor,Richard Gere,135,"Endgame Entertainment, Rising Star, Killer Films, John Wells Productions, Dreamachine, Film & Entertainment VIP Medienfonds 4 GmbH & Co. KG (I), Grey Water Park Productions, John Goldwyn Productions, Wells Productions"
actor,Richard Gere,124,"Regency Enterprises, Fox 2000 Pictures, Epsilon Motion Pictures, Unfaithful Filmproduktion GmbH & Co. KG"
actor,Richard Gere,113,"Miramax Films, Producers Circle, Storyline Entertainment"
actor,Richard Gere,119,Lakeshore Entertainment
actor,Richard Gere,116,"Miramax Films, The Mark Gordon Company, Yari Film Group, Bob Yari Productions"
actor,Richard Gere,106,Miramax Films
actress,Gina Gershon,126,"Wendy Finerman Productions, Alcon Entertainment, Grosvenor Park Productions"
actor,Mel Gibson,106,"Kennedy/Marshall Company, The, Touchstone Pictures, Blinding Edge Pictures"
writer,Mel Gibson,127,"Icon Productions, Twentieth Century Fox Film Corporation"
writer,Mel Gibson,139,"Icon Productions, Icon Entertainment International, Touchstone Pictures"
actor,Jeff Goldblum,87,"Village Roadshow Pictures, NPV Entertainment, Mad Chance, Zide-Perry Productions, Warner Bros., BenderSpink"
actor,Jeff Goldblum,98,United Artists
actor,Jeff Goldblum,119,"Touchstone Pictures, American Empirical Pictures"
actor,Tom Hanks,100,"Golden Mean, Playtone, ImageMovers"
actor,Tom Hanks,129,"Paramount Pictures, Scott Rudin Productions, Warner Bros."
actor,Tom Hanks,102,"Universal Pictures, Participant Productions, Playtone Production"
actor,Tom Hanks,103,"Walt Disney Pictures, Pixar Animation Studios"
actor,Tom Hanks,128,"DreamWorks SKG, Amblin Entertainment, Parkes/MacDonald Productions"
actor,Tom Hanks,141,"Kemp Company, Splendid Pictures, Parkes/MacDonald Productions"
actor,Tom Hanks,117,"DreamWorks SKG, The Zanuck Company, Twentieth Century Fox Film Corporation"
producer,Tom Hanks,98,"Universal Pictures, Spyglass Entertainment, Epsilon Motion Pictures, CCLA Productions"
actress,Teri Hatcher,100,"Focus Features, Laika Entertainment"
actress,Teri Hatcher,88,"Dimension Films, Troublemaker Studios, Miramax"
actor,Ethan Hawke,103,"Village Roadshow Pictures, Atmosphere Entertainment MM, Warner Bros."
actor,Ethan Hawke,117,"Capitol Films, Linsefilm, Unity Productions, Michael Cerenzie Productions, Funky Buddha Productions"
actor,Ethan Hawke,80,"Castle Rock Entertainment, Detour Film Production, Warner Independent Pictures (WIP)"
actor,Ethan Hawke,86,"The Independent Film Channel Productions, Detour Filmproduction, IFC Productions, InDigEnt (Independent Digital Entertainment), Tape Productions Inc."
actress,Salma Hayek,102,"Columbia Pictures Corporation, Dimension Films, Troublemaker Studios"
actress,Salma Hayek,109,Universal Pictures
actress,Salma Hayek,97,"New Line Cinema, Contrafilm, Firm Films"
actress,Salma Hayek,84,Dimension Films
actor,Dustin Hoffman,115,"DreamWorks SKG, Universal Pictures, Everyman Pictures, Tribeca Productions"
actor,Dustin Hoffman,113,"Mandate Pictures, Three Strange Angels"
actor,Dustin Hoffman,117,"Punch Productions, Touchstone Pictures, Hyde Park Entertainment, Reveal Entertainment, Gran Via"
actor,Dustin Hoffman,92,DreamWorks Animation
actor,Dustin Hoffman,127,"Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures"
actor,Anthony Hopkins,128,"Columbia Pictures Corporation, Rising Star, Relativity Media, Phoenix Pictures, VIP 4 Medienfonds"
actor,Anthony Hopkins,116,"Jerry Bruckheimer Films, Touchstone Pictures, Stillking Films"
actor,Anthony Hopkins,100,"Miramax Films, Endgame Entertainment, Hart-Sharp Entertainment"
actor,Ron Howard,95,"Conundrum Entertainment, Warner Bros. Animation, Warner Bros."
director,Ron Howard,135,"Imagine Entertainment, DreamWorks SKG, Universal Pictures"
