tconst,primaryTitle,category,averageRating,employee,runtimeMinutes,ProductionCompanies,profit_ratio
tt0279778,Divine Secrets of the Ya-Ya Sisterhood,actress,6.0,Sandra Bullock,116,"All Girl Productions, Gaylord Productions",-1
tt0477071,Premonition,actress,6.0,Sandra Bullock,96,"TriStar Pictures, Hyde Park Films, Offspring Entertainment",3
tt0410297,The Lake House,actress,7.0,Sandra Bullock,99,"Village Roadshow Pictures, Vertigo Entertainment, Sound for Film, Warner Bros.",1
tt0264935,Murder by Numbers,actress,6.0,Sandra Bullock,115,"Castle Rock Entertainment, Warner Bros., Schroeder Hoffman Productions",0
tt0420609,Infamous,actress,7.0,Sandra Bullock,110,"Killer Films, Longfellow Pictures, Warner Independent Pictures (WIP), Jack and Henry Productions Inc.",0
tt0477302,Extremely Loud & Incredibly Close,actress,7.0,Sandra Bullock,129,"Paramount Pictures, Scott Rudin Productions, Warner Bros.",0
tt0198781,"Monsters, Inc.",actor,8.0,Steve Buscemi,92,"Walt Disney Pictures, Pixar Animation Studios",3
tt0299172,Home on the Range,actor,5.0,Steve Buscemi,76,Walt Disney Pictures,0
tt0399201,The Island,actor,7.0,Steve Buscemi,136,"DreamWorks SKG, Warner Bros., Parkes/MacDonald Productions",0
tt0287717,Spy Kids 2: Island of Lost Dreams,actor,5.0,Steve Buscemi,100,Dimension Films,2
tt0385880,Monster House,actor,7.0,Steve Buscemi,91,"Columbia Pictures, Amblin Entertainment, Sony Pictures Animation, Sony Pictures Entertainment, ImageMovers",0
tt0403702,Youth in Revolt,actor,6.0,Steve Buscemi,90,Dimension Films,-1
tt0305973,Sonny,director,6.0,Nicolas Cage,110,,-1
tt0305973,Sonny,producer,6.0,Nicolas Cage,110,,-1
tt0268126,Adaptation.,actor,8.0,Nicolas Cage,115,"Beverly Detroit, Propaganda Films, Clinica Estetico, Intermedia, Good Machine, Magnet Productions",0
tt0245562,Windtalkers,actor,6.0,Nicolas Cage,134,"Lion Rock Productions, Metro-Goldwyn-Mayer (MGM)",0
tt0429589,The Ant Bully,actor,6.0,Nicolas Cage,88,"Playtone, Warner Bros., Legendary Entertainment, DNA Productions",0
tt0469641,World Trade Center,actor,6.0,Nicolas Cage,129,"Paramount Pictures, Double Feature Films, Intermedia Films, Kernos Filmproduktionsgesellschaft & Company",1
tt0325805,Matchstick Men,actor,7.0,Nicolas Cage,116,"Saturn Films, Scott Free Productions, Rickshaw Productions, Warner Bros., LivePlanet, ImageMovers, HorsePower Entertainment",0
tt0435705,Next,actor,6.0,Nicolas Cage,96,"Paramount Pictures, Virtual Studios, Revolution Studios, Saturn Films, Broken Road Productions",0
tt0368891,National Treasure,actor,7.0,Nicolas Cage,131,"Walt Disney Pictures, Jerry Bruckheimer Films, Saturn Films, Junction Entertainment",2
tt0465234,National Treasure: Book of Secrets,actor,7.0,Nicolas Cage,124,"Walt Disney Pictures, Jerry Bruckheimer Films, Saturn Films, Junction Entertainment, Sparkler Entertainment, NT2 Productions",2
tt0307479,Solaris,producer,6.0,James Cameron,99,"Twentieth Century Fox Film Corporation, Lightstorm Entertainment",0
tt0337881,Blind Horizon,actress,6.0,Neve Campbell,99,Millennium Films,-1
tt0373883,Halloween,writer,6.0,John Carpenter,109,"Dimension Films, Spectacle Entertainment Group, Nightfall Productions",4
tt0228333,Ghosts of Mars,director,5.0,John Carpenter,98,"Screen Gems, Storm King Productions, Animationwerks",0
tt0220506,Halloween: Resurrection,writer,4.0,John Carpenter,90,Dimension Films,1
tt0228333,Ghosts of Mars,writer,5.0,John Carpenter,98,"Screen Gems, Storm King Productions, Animationwerks",0
tt0275847,Lilo & Stitch,actress,7.0,Tia Carrere,85,"Walt Disney Pictures, Walt Disney Feature Animation",0
tt0268995,The Majestic,actor,7.0,Jim Carrey,152,"Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Darkwoods Productions",0
tt0451079,Horton Hears a Who!,actor,7.0,Jim Carrey,86,"Twentieth Century Fox Film Corporation, Blue Sky Studios, Twentieth Century Fox Animation",2
tt0369441,Fun with Dick and Jane,actor,6.0,Jim Carrey,90,"Imagine Entertainment, Columbia Pictures Corporation, JC 23 Entertainment",1
tt0338013,Eternal Sunshine of the Spotless Mind,actor,8.0,Jim Carrey,108,"Anonymous Content, This Is That Productions, Focus Features",2
tt0315327,Bruce Almighty,actor,7.0,Jim Carrey,101,"Universal Pictures, Spyglass Entertainment, Shady Acres Entertainment, Pit Bull Productions",5
tt0307479,Solaris,actor,6.0,George Clooney,99,"Twentieth Century Fox Film Corporation, Lightstorm Entertainment",0
tt0432283,Fantastic Mr. Fox,actor,8.0,George Clooney,87,"Twentieth Century Fox Film Corporation, Regency Enterprises, Indian Paintbrush, American Empirical Pictures",0
