tconst,primaryTitle,category,averageRating,employee,runtimeMinutes,ProductionCompanies,profit_ratio
tt0121766,Star Wars: Episode III - Revenge of the Sith,casting_director,8.0,Christine King,140,Lucasfilm,6
tt0121766,Star Wars: Episode III - Revenge of the Sith,cinematographer,8.0,David Tattersall,140,Lucasfilm,6
tt0121766,Star Wars: Episode III - Revenge of the Sith,composer,8.0,John Williams,140,Lucasfilm,6
tt0121766,Star Wars: Episode III - Revenge of the Sith,director,8.0,George Lucas,140,Lucasfilm,6
tt0121766,Star Wars: Episode III - Revenge of the Sith,editor,8.0,Ben Burtt,140,Lucasfilm,6
tt0121766,Star Wars: Episode III - Revenge of the Sith,editor,8.0,Roger Barton,140,Lucasfilm,6
tt0121766,Star Wars: Episode III - Revenge of the Sith,producer,8.0,Rick McCallum,140,Lucasfilm,6
tt0121766,Star Wars: Episode III - Revenge of the Sith,production_designer,8.0,Gavin Bocquet,140,Lucasfilm,6
tt0121766,Star Wars: Episode III - Revenge of the Sith,writer,8.0,George Lucas,140,Lucasfilm,6
tt0125022,Heartbreakers,actor,6.0,Gene Hackman,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,actor,6.0,Jason Lee,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,actor,6.0,Jeffrey Jones,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,actor,6.0,Julio Oscar Mechoso,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,actor,6.0,Ray Liotta,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,actor,6.0,Ricky Jay,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,actress,6.0,Anne Bancroft,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,actress,6.0,Jennifer Love Hewitt,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,actress,6.0,Nora Dunn,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,actress,6.0,Sigourney Weaver,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,casting_director,6.0,Jeanne McCarthy,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,casting_director,6.0,Juel Bestrop,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,cinematographer,6.0,Dean Semler,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,composer,6.0,John Debney,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,director,6.0,David Mirkin,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,editor,6.0,William Steinkamp,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,producer,6.0,Irving Ong,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,producer,6.0,John Davis,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,production_designer,6.0,Lilly Kilvert,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,writer,6.0,Paul Guay,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,writer,6.0,Robert Dunn,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0125022,Heartbreakers,writer,6.0,Stephen Mazur,123,"Davis Entertainment, Metro-Goldwyn-Mayer (MGM)",-1
tt0126029,Shrek,actor,8.0,Bobby Block,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,actor,8.0,Chris Miller,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,actor,8.0,Clive Pearse,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,actor,8.0,Eddie Murphy,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,actor,8.0,Jim Cummings,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,actor,8.0,John Lithgow,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,actor,8.0,Mike Myers,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,actor,8.0,Peter Dennis,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,actor,8.0,Vincent Cassel,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,actress,8.0,Cameron Diaz,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,casting_director,8.0,Leslee Feldman,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,composer,8.0,Harry Gregson-Williams,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,composer,8.0,John Powell,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,director,8.0,Andrew Adamson,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,director,8.0,Vicky Jenson,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
